Moisture,pH,EC,N,P,K,Soil_Type,N_Class,P_Class,K_Class,Soil_Temperature
35.45,6.67,1.61,39.39,37.53,53.56,Silty,Low,Medium,Medium,29.14
26.51,6.65,1.79,78.73,22.58,27.07,Sandy,High,Low,Low,29.75
27.95,6.96,2.17,84.31,62.97,25.14,Silty,High,High,Low,30.24
38.42,6.17,2.06,71.74,45.95,33.8,Loamy,High,Medium,Low,32.98
63.27,7.97,2.27,67.55,20.12,62.45,Clay,Medium,Low,Medium,30.7
23.1,7.33,1.56,57.82,15.75,67.18,Loamy,Medium,Low,High,27.89
33.52,7.66,2.5,88.2,48.78,75.65,Clay,High,Medium,High,23.42
60.13,5.79,2.09,43.79,65.48,32.03,Clay,Medium,High,Low,22.23
31.97,7.33,2.1,92.42,10.66,81.18,Clay,High,Low,High,29.72
41.9,6.92,2.78,96.65,59.08,88.3,Silty,High,High,High,29.91
63.79,5.69,2.1,38.82,58.3,42.71,Peaty,Low,High,Medium,24.68
30.34,5.64,2.06,40.15,40.43,72.99,Silty,Medium,Medium,High,27.24
24.74,5.13,2.06,66.37,62.13,40.77,Sandy,Medium,High,Medium,28.59
14.46,6.34,1.81,65.57,59.35,52.77,Sandy,Medium,High,Medium,35.45
10.61,5.55,1.44,80.83,23.78,37.89,Sandy,High,Low,Medium,36.97
55.84,7.42,1.62,23.38,37.57,35.45,Clay,Low,Medium,Medium,30.23
27.01,6.91,2.75,96.98,54.09,88.46,Silty,High,High,High,29.72
39.85,7.44,2.47,88.29,18.43,84.72,Clay,High,Low,High,25.15
28.72,7.93,1.12,30.56,12.79,40.59,Loamy,Low,Low,Medium,30.56
21.63,7.43,1.38,61.46,26.56,37.84,Loamy,Medium,Medium,Medium,32.34
45.45,5.46,2.4,69.2,21.18,83.94,Silty,Medium,Low,High,30.52
54.07,7.01,1.31,40.52,12.14,21.09,Peaty,Medium,Low,Low,25.01
12.39,7.77,1.76,26.95,52.52,70.83,Sandy,Low,High,High,36.23
49.6,5.15,2.58,65.46,67.66,75.85,Clay,Medium,High,High,28.4
40.3,6.46,2.66,85.8,49.08,84.07,Loamy,High,Medium,High,24.5
36.96,7.69,1.84,61.72,54.52,18.61,Loamy,Medium,High,Low,26.53
28.66,7.89,2.14,54.12,56.15,58.48,Loamy,Medium,High,Medium,30.15
54.78,6.0,2.04,93.22,25.33,25.61,Peaty,High,Medium,Low,22.68
20.5,7.4,1.81,72.1,25.08,74.28,Sandy,High,Medium,High,30.08
22.76,5.06,1.6,21.81,62.23,53.17,Loamy,Low,High,Medium,31.11
54.67,7.42,1.77,32.28,65.67,32.24,Silty,Low,High,Low,33.08
36.6,6.22,2.38,73.77,64.02,59.74,Clay,High,High,Medium,24.8
31.95,6.25,2.43,82.65,40.49,70.66,Silty,High,Medium,High,26.5
33.22,5.55,2.07,90.91,57.4,31.7,Silty,High,High,Low,30.47
64.32,7.13,1.74,50.54,10.02,44.56,Clay,Medium,Low,Medium,31.2
42.1,6.88,1.68,30.57,47.15,55.81,Silty,Low,Medium,Medium,29.6
36.43,5.43,2.23,84.7,42.14,69.52,Silty,High,Medium,High,27.05
45.41,7.01,2.55,82.37,67.61,46.99,Peaty,High,High,Medium,21.59
45.63,7.19,2.05,76.11,37.55,23.18,Clay,High,Medium,Low,28.99
22.22,6.1,1.89,52.53,39.78,73.39,Sandy,Medium,Medium,High,35.96
41.64,5.04,1.94,53.78,60.57,31.38,Clay,Medium,High,Low,24.81
50.98,7.19,1.59,30.0,37.3,28.31,Clay,Low,Medium,Low,30.3
26.47,7.99,1.37,35.3,20.67,16.51,Sandy,Low,Low,Low,33.63
24.47,6.44,2.06,93.57,21.2,74.05,Loamy,High,Low,High,31.06
57.99,5.3,1.98,60.65,51.24,36.01,Peaty,Medium,High,Medium,22.1
30.25,5.2,2.28,68.9,51.07,63.29,Clay,Medium,High,Medium,30.29
14.43,6.69,1.55,31.84,41.3,60.73,Sandy,Low,Medium,Medium,31.01
24.4,6.26,1.11,39.04,10.19,34.86,Loamy,Low,Low,Low,28.85
34.47,6.6,1.94,84.88,15.4,34.97,Clay,High,Low,Low,26.32
39.92,7.33,1.73,39.14,24.69,50.95,Clay,Low,Low,Medium,30.56
59.04,5.12,1.89,32.2,64.04,22.88,Clay,Low,High,Low,26.85
62.06,5.71,2.08,77.2,31.92,50.71,Clay,High,Medium,Medium,29.16
46.37,6.88,2.15,94.17,22.27,37.02,Peaty,High,Low,Medium,25.24
22.46,7.55,1.48,83.57,11.56,34.33,Loamy,High,Low,Low,32.17
36.73,6.72,1.86,47.36,54.08,41.42,Loamy,Medium,High,Medium,27.14
9.37,7.67,1.88,68.41,45.1,87.55,Sandy,Medium,Medium,High,25.28
18.85,5.99,1.41,40.09,56.55,37.15,Sandy,Medium,High,Medium,27.54
49.56,6.14,1.99,57.01,58.28,26.95,Peaty,Medium,High,Low,27.1
27.36,5.54,2.18,91.98,61.4,30.08,Silty,High,High,Low,31.25
31.55,6.77,1.88,90.48,17.25,59.0,Clay,High,Low,Medium,31.28
19.48,7.37,1.3,26.52,40.6,44.57,Sandy,Low,Medium,Medium,29.69
19.87,7.89,1.24,38.35,45.18,17.36,Sandy,Low,Medium,Low,35.87
46.8,6.9,1.67,25.06,62.84,21.65,Peaty,Low,High,Low,25.0
38.48,5.73,2.13,72.37,53.84,32.5,Silty,High,High,Low,25.25
49.3,7.05,1.69,40.37,30.55,59.03,Silty,Medium,Medium,Medium,26.47
21.57,6.83,1.48,74.02,12.44,26.18,Sandy,High,Low,Low,37.33
9.36,7.88,1.66,46.75,47.68,46.53,Sandy,Medium,Medium,Medium,37.06
53.93,6.05,1.48,22.85,10.39,36.46,Silty,Low,Low,Medium,23.73
24.74,5.52,1.75,74.65,29.85,42.55,Sandy,High,Medium,Medium,37.13
24.53,6.77,1.72,44.31,36.92,78.82,Sandy,Medium,Medium,High,32.33
22.96,5.02,1.19,47.54,30.58,15.9,Sandy,Medium,Medium,Low,35.04
26.98,7.87,1.61,21.29,49.04,66.36,Loamy,Low,Medium,High,24.59
48.34,5.99,1.5,37.85,35.36,30.86,Peaty,Low,Medium,Low,23.5
52.65,7.77,2.84,75.45,69.65,89.23,Peaty,High,High,High,28.82
22.88,5.2,2.13,60.03,47.88,72.74,Loamy,Medium,Medium,High,26.28
33.64,5.1,2.31,80.6,56.55,42.09,Loamy,High,High,Medium,30.18
64.69,5.09,2.28,71.49,18.47,89.85,Clay,High,Low,High,28.63
40.91,6.75,2.4,89.3,55.66,75.4,Loamy,High,High,High,32.25
14.9,5.74,1.96,55.98,18.98,82.21,Sandy,Medium,Low,High,29.37
34.41,5.89,2.39,47.25,69.65,82.02,Loamy,Medium,High,High,24.45
34.24,7.49,1.95,91.17,50.57,17.27,Clay,High,High,Low,23.64
40.03,5.91,1.8,65.29,50.74,38.31,Silty,Medium,High,Medium,26.42
69.03,7.83,2.16,58.93,49.46,26.15,Peaty,Medium,Medium,Low,21.98
21.25,6.42,1.38,59.61,22.14,43.65,Sandy,Medium,Low,Medium,34.49
39.46,7.18,2.32,82.79,53.32,35.99,Clay,High,High,Medium,23.24
29.18,6.0,1.81,68.65,23.85,49.07,Loamy,Medium,Low,Medium,23.56
21.25,7.09,1.52,75.26,34.69,30.76,Sandy,High,Medium,Low,31.39
19.22,6.17,0.94,22.15,15.46,17.37,Sandy,Low,Low,Low,37.12
19.65,5.83,1.35,22.7,21.55,61.41,Loamy,Low,Low,Medium,32.53
42.42,7.02,1.66,47.7,46.35,40.09,Clay,Medium,Medium,Medium,25.58
30.85,7.88,1.56,32.7,47.67,22.12,Silty,Low,Medium,Low,24.34
35.82,6.17,1.64,22.25,23.98,56.52,Loamy,Low,Low,Medium,30.62
17.37,7.72,1.45,52.93,28.42,35.63,Sandy,Medium,Medium,Medium,37.98
43.09,6.86,1.75,31.62,45.64,31.25,Silty,Low,Medium,Low,25.15
39.79,5.96,1.99,72.19,49.11,19.58,Clay,High,Medium,Low,26.37
30.06,5.33,1.43,34.2,11.27,78.13,Silty,Low,Low,High,31.9
52.86,5.37,1.97,46.73,41.18,27.66,Silty,Medium,Medium,Low,25.28
37.74,7.1,2.55,79.38,55.53,85.59,Loamy,High,High,High,24.08
11.1,6.57,2.32,87.44,45.32,72.86,Sandy,High,Medium,High,29.21
62.41,7.8,1.94,84.23,35.36,24.0,Clay,High,Medium,Low,26.29
30.61,5.76,1.6,46.55,61.66,23.84,Clay,Medium,High,Low,31.11
45.71,6.58,1.91,33.34,39.1,52.07,Clay,Low,Medium,Medium,31.34
23.56,6.87,1.68,32.16,42.33,50.97,Sandy,Low,Medium,Medium,36.79
10.41,7.72,2.07,56.66,66.73,71.91,Sandy,Medium,High,High,32.65
40.85,6.2,2.48,95.02,66.7,74.19,Clay,High,High,High,29.37
42.82,7.24,1.92,48.01,18.95,54.99,Peaty,Medium,Low,Medium,28.68
58.51,7.42,1.71,42.04,26.52,48.59,Clay,Medium,Medium,Medium,22.72
17.94,6.99,1.86,49.2,57.91,73.91,Sandy,Medium,High,High,26.53
43.17,5.39,1.84,22.97,48.72,62.14,Loamy,Low,Medium,Medium,23.5
34.07,6.87,1.88,87.11,11.88,69.05,Loamy,High,Low,High,24.49
11.83,6.7,1.88,80.9,50.08,58.21,Sandy,High,High,Medium,26.39
45.48,5.49,2.33,68.62,58.48,73.16,Silty,Medium,High,High,24.71
69.54,7.81,1.91,55.01,42.55,22.73,Peaty,Medium,Medium,Low,23.4
31.08,7.44,2.03,42.21,35.68,75.98,Loamy,Medium,Medium,High,25.63
40.66,6.76,1.45,20.47,28.86,60.38,Silty,Low,Medium,Medium,26.72
42.69,6.81,1.89,31.4,60.62,55.8,Clay,Low,High,Medium,30.56
47.65,5.89,1.67,35.35,37.62,42.06,Peaty,Low,Medium,Medium,27.64
41.43,6.14,2.26,66.89,43.05,82.17,Silty,Medium,Medium,High,27.06
28.96,7.0,1.44,47.35,32.52,22.45,Silty,Medium,Medium,Low,26.47
63.09,6.71,2.73,84.34,68.3,76.8,Clay,High,High,High,30.19
62.87,5.25,2.43,85.58,68.76,38.69,Clay,High,High,Medium,28.04
8.14,5.5,1.83,84.27,20.04,77.77,Sandy,High,Low,High,28.49
41.73,7.02,2.17,87.93,48.5,15.09,Silty,High,Medium,Low,32.73
73.65,6.13,2.41,33.22,43.54,83.0,Peaty,Low,Medium,High,20.09
49.35,7.44,1.62,60.51,18.25,35.44,Silty,Medium,Low,Medium,25.46
51.04,5.12,2.34,94.33,37.12,58.17,Peaty,High,Medium,Medium,28.17
25.15,5.0,1.41,31.13,29.31,25.09,Sandy,Low,Medium,Low,30.39
20.52,5.57,2.21,89.51,61.18,49.22,Sandy,High,High,Medium,30.02
25.0,6.37,1.6,27.96,16.4,59.13,Silty,Low,Low,Medium,32.18
21.81,7.51,1.99,73.87,46.76,37.63,Sandy,High,Medium,Medium,27.0
73.38,7.91,2.17,39.75,53.58,23.36,Peaty,Low,High,Low,20.97
44.2,7.59,2.26,81.73,44.08,71.31,Loamy,High,Medium,High,30.37
64.61,6.25,2.49,78.74,16.41,79.33,Peaty,High,Low,High,27.94
38.61,5.57,2.28,42.63,58.93,84.77,Silty,Medium,High,High,23.4
54.19,7.11,2.01,49.11,50.88,56.81,Peaty,Medium,High,Medium,27.97
66.78,7.5,2.49,60.39,59.22,41.25,Peaty,Medium,High,Medium,28.95
69.83,5.14,2.78,92.81,37.23,87.58,Peaty,High,Medium,High,28.08
42.55,6.15,2.23,84.52,26.46,54.19,Clay,High,Medium,Medium,24.09
59.49,6.73,2.64,86.52,62.59,77.4,Peaty,High,High,High,23.81
51.79,6.17,1.93,77.04,29.19,34.69,Peaty,High,Medium,Low,27.5
24.03,7.79,1.64,22.0,60.88,65.76,Loamy,Low,High,High,23.9
53.04,6.75,2.27,71.89,23.83,86.18,Clay,High,Low,High,28.74
35.65,6.7,2.1,88.07,34.98,33.0,Silty,High,Medium,Low,30.02
49.86,5.32,1.31,23.68,20.16,31.14,Clay,Low,Low,Low,24.38
26.77,5.31,2.15,95.99,23.07,52.18,Sandy,High,Low,Medium,36.54
11.91,7.56,1.05,20.83,17.16,51.15,Sandy,Low,Low,Medium,37.88
26.98,7.86,1.95,71.53,42.95,44.85,Silty,High,Medium,Medium,23.26
53.58,5.26,1.99,21.41,55.2,69.62,Silty,Low,High,High,31.14
57.72,6.29,1.39,23.14,30.4,18.27,Peaty,Low,Medium,Low,26.76
35.52,6.75,1.55,44.28,27.73,54.04,Loamy,Medium,Medium,Medium,27.96
18.93,5.12,1.83,68.35,65.65,15.58,Loamy,Medium,High,Low,30.6
26.09,5.77,1.52,46.83,45.52,44.25,Silty,Medium,Medium,Medium,23.86
27.43,5.27,1.9,73.12,40.5,48.19,Silty,High,Medium,Medium,27.17
13.8,6.43,1.43,29.7,24.23,56.59,Sandy,Low,Low,Medium,31.88
27.77,5.32,2.03,52.91,48.16,78.84,Sandy,Medium,Medium,High,25.99
41.59,7.7,1.44,23.65,45.06,31.59,Silty,Low,Medium,Low,28.38
37.98,7.59,1.41,33.16,22.75,53.38,Silty,Low,Low,Medium,26.43
18.51,6.71,1.72,84.09,58.09,25.89,Loamy,High,High,Low,24.83
38.85,7.22,2.72,94.18,55.36,85.03,Loamy,High,High,High,25.98
50.54,7.54,2.01,33.86,68.83,42.18,Peaty,Low,High,Medium,27.08
40.51,5.07,2.05,74.26,47.01,27.2,Silty,High,Medium,Low,24.72
47.06,7.45,2.18,86.91,54.54,28.59,Silty,High,High,Low,31.01
13.22,6.87,1.69,55.33,60.7,33.2,Sandy,Medium,High,Low,25.32
19.02,5.28,2.07,95.74,48.01,53.06,Sandy,High,Medium,Medium,34.68
11.32,7.51,2.33,88.27,41.22,81.53,Sandy,High,Medium,High,27.76
31.95,7.21,1.77,94.97,13.36,15.18,Loamy,High,Low,Low,23.26
15.89,5.4,1.97,24.7,64.23,77.26,Sandy,Low,High,High,26.27
27.4,7.65,2.03,60.16,67.64,69.48,Sandy,Medium,High,High,25.19
59.56,5.21,2.06,49.1,34.55,78.19,Peaty,Medium,Medium,High,21.15
27.8,6.89,1.65,43.75,37.53,56.29,Sandy,Medium,Medium,Medium,35.22
55.74,6.78,1.86,29.46,46.15,22.0,Peaty,Low,Medium,Low,24.76
46.96,7.0,2.14,87.1,12.12,44.13,Peaty,High,Low,Medium,20.95
54.68,6.22,1.51,64.91,19.62,19.46,Peaty,Medium,Low,Low,22.68
51.76,5.69,1.94,22.88,59.94,29.71,Peaty,Low,High,Low,24.59
36.18,7.0,1.66,20.5,67.2,32.35,Silty,Low,High,Low,33.62
25.45,5.18,1.31,31.26,62.99,20.02,Loamy,Low,High,Low,28.4
48.81,7.35,2.34,98.55,65.82,24.86,Peaty,High,High,Low,21.8
26.89,6.26,1.14,51.3,12.22,20.8,Silty,Medium,Low,Low,24.31
67.05,5.21,2.38,72.37,55.51,30.2,Peaty,High,High,Low,22.79
43.56,5.43,1.98,45.79,59.02,35.13,Peaty,Medium,High,Medium,29.28
41.19,5.44,1.91,23.05,35.36,76.0,Peaty,Low,Medium,High,20.56
32.52,6.63,1.93,69.9,33.51,39.46,Loamy,Medium,Medium,Medium,29.92
33.9,7.01,2.02,68.2,37.47,76.5,Loamy,Medium,Medium,High,23.8
52.29,6.62,1.49,22.74,50.13,25.07,Peaty,Low,High,Low,26.47
18.2,8.0,2.05,50.32,64.4,66.81,Sandy,Medium,High,High,36.79
63.15,6.33,2.1,87.47,22.41,44.27,Clay,High,Low,Medium,27.55
30.59,5.71,2.05,91.87,41.54,55.52,Silty,High,Medium,Medium,27.27
17.69,5.15,2.16,89.49,64.23,71.82,Sandy,High,High,High,33.83
43.6,5.21,1.95,76.2,14.64,34.27,Silty,High,Low,Low,33.43
53.59,5.68,2.25,77.18,36.63,57.46,Clay,High,Medium,Medium,22.81
20.47,6.71,2.04,35.81,67.09,88.11,Loamy,Low,High,High,31.07
40.0,7.25,1.98,34.13,48.37,86.7,Clay,Low,Medium,High,27.03
53.78,6.25,2.27,37.41,56.26,74.92,Clay,Low,High,High,27.01
37.88,5.86,1.86,56.0,21.13,67.91,Loamy,Medium,Low,High,27.76
57.11,5.19,2.59,57.07,65.7,77.7,Clay,Medium,High,High,29.16
31.19,5.01,2.61,63.05,65.45,88.75,Loamy,Medium,High,High,23.66
39.68,5.15,2.78,80.68,59.67,89.03,Silty,High,High,High,23.73
38.95,7.58,2.12,79.05,19.2,73.5,Clay,High,Low,High,22.43
37.51,7.08,2.46,54.65,49.48,88.28,Silty,Medium,Medium,High,27.37
33.88,6.13,1.49,26.53,44.61,40.09,Loamy,Low,Medium,Medium,23.41
41.49,6.34,2.18,95.95,59.76,31.77,Silty,High,High,Low,29.97
69.34,7.42,2.28,67.71,54.61,26.49,Peaty,Medium,High,Low,21.96
46.48,7.49,1.73,59.66,12.05,42.57,Silty,Medium,Low,Medium,33.96
62.92,7.51,2.31,23.42,63.68,72.13,Peaty,Low,High,High,28.85
48.88,7.27,2.19,67.79,39.79,71.7,Clay,Medium,Medium,High,24.77
34.62,6.68,1.41,25.52,12.66,53.53,Loamy,Low,Low,Medium,23.83
25.47,6.27,1.41,22.54,21.2,57.65,Sandy,Low,Low,Medium,34.56
45.24,5.46,2.85,85.75,66.53,83.28,Peaty,High,High,High,21.5
61.78,7.41,2.09,95.39,16.04,15.32,Clay,High,Low,Low,22.09
71.25,6.1,2.24,72.13,33.13,59.0,Peaty,High,Medium,Medium,25.08
50.33,7.06,2.42,23.86,64.75,83.67,Clay,Low,High,High,24.3
42.98,5.6,1.96,27.26,36.6,68.91,Peaty,Low,Medium,High,29.94
43.96,7.73,1.46,39.83,11.41,16.82,Peaty,Low,Low,Low,25.07
9.89,5.03,1.55,35.04,57.34,41.08,Sandy,Low,High,Medium,35.6
18.81,5.98,1.79,38.8,41.32,53.57,Sandy,Low,Medium,Medium,30.24
26.66,7.8,2.27,67.8,63.57,58.4,Sandy,Medium,High,Medium,27.17
61.81,5.15,1.76,25.21,56.57,24.15,Clay,Low,High,Low,29.64
39.74,5.53,2.37,90.61,66.49,58.45,Silty,High,High,Medium,25.38
54.96,6.1,1.66,51.07,12.92,31.37,Silty,Medium,Low,Low,27.02
33.06,5.8,1.46,31.3,36.83,46.69,Silty,Low,Medium,Medium,27.74
19.67,6.0,1.42,38.24,41.1,32.87,Loamy,Low,Medium,Low,23.76
21.59,6.33,1.29,27.26,10.8,68.38,Sandy,Low,Low,High,35.01
26.25,6.0,1.76,84.76,41.09,30.01,Sandy,High,Medium,Low,30.15
35.15,5.95,1.73,71.82,11.3,26.65,Clay,High,Low,Low,24.37
30.68,5.86,1.89,95.58,11.16,63.5,Loamy,High,Low,Medium,26.55
36.79,5.93,2.05,47.65,67.01,62.76,Clay,Medium,High,Medium,26.43
19.86,5.07,2.06,63.75,46.24,83.76,Loamy,Medium,Medium,High,26.37
33.4,7.04,1.85,29.12,66.05,37.34,Silty,Low,High,Medium,27.58
36.45,6.85,2.54,66.73,52.28,87.83,Silty,Medium,High,High,27.61
32.56,7.09,1.71,26.43,31.07,49.66,Clay,Low,Medium,Medium,30.46
55.38,7.44,1.55,48.65,31.26,18.07,Peaty,Medium,Medium,Low,21.02
29.31,6.61,1.49,58.96,10.36,38.08,Silty,Medium,Low,Medium,25.74
46.29,5.71,1.84,32.32,68.02,28.79,Clay,Low,High,Low,26.42
51.94,5.24,1.78,52.79,24.56,59.75,Clay,Medium,Low,Medium,23.95
26.53,7.25,2.4,99.75,35.33,74.06,Sandy,High,Medium,High,29.21
16.33,7.14,1.78,56.5,42.93,51.32,Sandy,Medium,Medium,Medium,37.57
57.33,7.43,2.3,65.17,69.4,31.39,Peaty,Medium,High,Low,27.88
25.86,7.6,2.48,80.83,69.75,81.61,Silty,High,High,High,27.88
20.25,6.62,1.29,67.09,14.78,17.28,Sandy,Medium,Low,Low,33.28
41.02,6.82,1.76,63.7,37.15,25.99,Peaty,Medium,Medium,Low,24.6
35.85,7.48,1.73,80.01,46.46,21.41,Loamy,High,Medium,Low,28.39
22.61,6.43,1.9,78.02,18.89,46.65,Loamy,High,Low,Medium,26.52
55.12,7.61,2.4,66.5,52.88,75.67,Peaty,Medium,High,High,29.25
53.75,7.81,2.27,64.78,62.74,62.17,Clay,Medium,High,Medium,24.66
31.9,5.37,2.02,76.04,64.9,26.83,Clay,High,High,Low,24.92
36.83,6.84,1.66,88.38,23.93,24.96,Clay,High,Low,Low,29.56
72.2,7.01,2.72,96.79,59.8,28.79,Peaty,High,High,Low,20.29
69.97,5.54,2.18,95.89,27.31,37.42,Peaty,High,Medium,Medium,22.82
11.04,5.79,1.68,75.68,32.34,30.77,Sandy,High,Medium,Low,34.33
25.16,5.54,1.58,83.24,28.13,18.61,Sandy,High,Medium,Low,33.32
60.57,7.31,2.31,62.77,61.21,52.7,Peaty,Medium,High,Medium,22.98
26.33,6.34,1.98,45.17,65.33,47.62,Sandy,Medium,High,Medium,30.02
35.37,5.85,1.05,21.64,17.54,27.56,Silty,Low,Low,Low,24.34
15.66,5.93,1.7,62.94,33.16,65.62,Sandy,Medium,Medium,High,37.44
48.67,7.78,1.89,42.89,33.38,43.2,Peaty,Medium,Medium,Medium,20.76
33.17,7.9,2.06,98.68,32.41,62.49,Silty,High,Medium,Medium,31.86
39.72,7.24,1.73,60.81,35.07,46.38,Loamy,Medium,Medium,Medium,26.76
44.39,5.79,1.78,92.16,21.91,31.56,Peaty,High,Low,Low,27.33
37.09,6.28,1.82,25.95,63.93,41.06,Silty,Low,High,Medium,23.42
52.1,7.59,1.55,35.37,44.44,16.6,Silty,Low,Medium,Low,25.61
12.58,7.22,1.19,50.66,33.19,21.5,Sandy,Medium,Medium,Low,35.81
38.79,6.04,1.97,85.89,25.95,37.41,Loamy,High,Medium,Medium,30.59
37.67,7.81,1.67,28.06,45.98,64.26,Loamy,Low,Medium,Medium,29.94
52.09,7.54,2.39,62.6,58.22,74.89,Clay,Medium,High,High,25.06
51.45,7.85,1.73,44.18,11.78,71.82,Clay,Medium,Low,High,29.15
26.81,7.59,1.87,36.76,25.37,79.27,Silty,Low,Medium,High,30.24
50.32,7.32,1.49,58.68,15.24,28.27,Peaty,Medium,Low,Low,26.94
41.88,5.88,2.05,37.93,53.83,79.06,Peaty,Low,High,High,27.82
71.78,5.52,2.26,36.31,54.47,73.97,Peaty,Low,High,High,25.86
45.74,7.6,2.16,59.17,58.52,31.91,Peaty,Medium,High,Low,29.22
40.36,7.7,1.67,37.36,26.35,72.83,Clay,Low,Medium,High,29.47
74.1,7.54,2.75,96.11,38.83,75.64,Peaty,High,Medium,High,26.21
41.95,5.28,1.9,69.08,52.7,28.96,Clay,Medium,High,Low,23.22
28.16,7.87,2.14,88.6,54.56,42.03,Silty,High,High,Medium,33.65
37.15,6.21,2.6,69.68,56.03,85.38,Silty,Medium,High,High,30.43
16.9,7.96,2.0,72.34,62.37,30.15,Sandy,High,High,Low,35.15
19.56,5.1,1.47,57.7,10.03,65.45,Loamy,Medium,Low,High,30.24
12.86,6.2,1.75,61.61,49.57,59.3,Sandy,Medium,Medium,Medium,32.36
53.12,7.7,1.76,20.0,63.19,42.21,Silty,Low,High,Medium,28.49
37.87,7.12,2.3,50.68,47.73,88.48,Loamy,Medium,Medium,High,24.45
24.11,7.61,1.99,95.16,61.77,23.56,Loamy,High,High,Low,28.76
23.66,5.66,2.35,93.4,36.65,63.7,Sandy,High,Medium,Medium,32.11
18.44,5.55,2.11,66.27,48.07,67.81,Sandy,Medium,Medium,High,31.18
22.44,6.57,1.34,75.53,29.74,15.11,Sandy,High,Medium,Low,33.67
22.33,7.91,1.9,52.48,52.71,80.66,Loamy,Medium,High,High,29.47
21.82,6.59,1.94,22.88,64.58,64.52,Loamy,Low,High,Medium,30.35
19.42,6.17,2.03,34.38,58.91,80.12,Sandy,Low,High,High,27.53
65.02,5.99,2.14,55.9,62.45,43.62,Peaty,Medium,High,Medium,22.17
53.1,8.0,1.98,29.66,40.22,57.81,Peaty,Low,Medium,Medium,25.11
73.48,7.82,2.0,43.28,14.71,49.55,Peaty,Medium,Low,Medium,29.38
50.83,6.11,2.39,89.09,28.83,68.16,Peaty,High,Medium,High,22.88
27.75,7.36,1.16,24.34,16.19,33.96,Loamy,Low,Low,Low,30.89
18.5,6.58,2.05,90.01,40.12,40.78,Loamy,High,Medium,Medium,25.79
45.62,6.26,2.31,80.84,66.96,46.46,Peaty,High,High,Medium,23.72
26.03,5.92,1.65,83.61,46.28,23.24,Loamy,High,Medium,Low,25.88
39.48,7.22,1.6,29.1,22.99,75.5,Silty,Low,Low,High,26.59
37.23,5.09,2.19,80.97,25.05,52.86,Loamy,High,Medium,Medium,31.91
63.56,7.97,2.24,91.44,39.01,42.17,Clay,High,Medium,Medium,27.78
37.44,7.23,1.52,27.92,17.7,56.97,Loamy,Low,Low,Medium,26.59
34.32,6.32,2.52,95.37,47.12,87.24,Loamy,High,Medium,High,31.7
36.43,6.48,1.94,59.26,17.85,61.96,Loamy,Medium,Low,Medium,24.89
31.25,6.49,2.35,89.27,33.59,69.09,Silty,High,Medium,High,29.64
48.15,7.94,2.36,100.0,57.88,35.64,Silty,High,High,Medium,29.96
20.82,8.0,2.21,88.1,34.8,67.92,Loamy,High,Medium,High,24.33
51.9,6.63,1.8,66.35,19.99,32.11,Silty,Medium,Low,Low,23.12
60.31,6.86,2.11,42.07,58.46,60.64,Peaty,Medium,High,Medium,27.8
31.01,7.58,1.46,48.45,47.32,18.83,Loamy,Medium,Medium,Low,32.41
19.96,6.47,1.41,34.28,50.33,22.66,Sandy,Low,High,Low,28.73
19.47,7.28,1.17,22.59,15.2,27.04,Sandy,Low,Low,Low,28.18
55.79,6.26,2.01,98.07,19.73,40.9,Peaty,High,Low,Medium,24.91
35.44,6.66,1.61,23.08,28.92,42.61,Loamy,Low,Medium,Medium,32.07
45.16,7.97,1.48,31.2,10.42,65.21,Clay,Low,Low,High,29.07
22.73,6.69,1.79,27.81,42.24,58.23,Loamy,Low,Medium,Medium,27.4
22.24,5.99,1.14,59.42,10.38,20.0,Loamy,Medium,Low,Low,30.22
54.89,7.17,2.04,24.24,14.23,82.69,Silty,Low,Low,High,26.9
65.83,6.48,2.55,95.85,41.24,75.2,Peaty,High,Medium,High,28.02
23.45,7.26,1.79,75.28,21.4,44.92,Sandy,High,Low,Medium,27.03
44.69,5.88,2.07,65.55,51.66,19.44,Silty,Medium,High,Low,26.3
68.36,5.64,2.29,70.36,35.82,53.87,Peaty,High,Medium,Medium,22.15
41.98,6.87,2.14,99.33,48.58,37.19,Clay,High,Medium,Medium,28.17
55.59,6.56,1.7,32.07,32.65,24.99,Clay,Low,Medium,Low,25.26
51.76,6.75,2.75,93.47,48.36,78.84,Peaty,High,Medium,High,20.86
10.48,5.06,1.67,84.27,42.19,27.04,Sandy,High,Medium,Low,27.75
26.14,6.81,1.61,59.01,48.96,42.03,Loamy,Medium,Medium,Medium,23.92
64.94,5.24,2.11,43.54,19.15,83.45,Peaty,Medium,Low,High,27.3
74.53,5.99,2.34,92.99,32.86,18.4,Peaty,High,Medium,Low,29.58
32.26,7.54,2.73,91.93,60.75,87.33,Silty,High,High,High,30.38
34.84,6.86,1.96,20.84,40.38,86.42,Clay,Low,Medium,High,27.87
11.22,5.02,1.62,61.06,40.09,36.39,Sandy,Medium,Medium,Medium,26.33
74.35,5.76,1.77,28.26,20.79,54.17,Peaty,Low,Low,Medium,29.87
64.56,7.73,1.9,61.11,21.78,39.92,Clay,Medium,Low,Medium,30.74
22.31,6.1,1.72,47.97,48.07,37.47,Loamy,Medium,Medium,Medium,32.74
40.37,5.54,2.46,96.77,46.86,86.24,Loamy,High,Medium,High,32.11
13.67,6.4,1.36,31.13,35.38,28.4,Sandy,Low,Medium,Low,29.67
